solution,f1,f2,f3
"[0, 3, 11, 16, 24, 28, 29, 30, 46, 47]",295.7431317883815,127,71
"[0, 1, 3, 6, 16, 22, 24, 29, 30, 45]",298.41246622753545,126,67
"[0, 1, 3, 7, 19, 24, 28, 43, 45, 48]",310.94211679989576,121,52
"[0, 4, 16, 20, 28, 29, 30, 45, 46, 47]",555.4394656485979,108,21
"[0, 1, 3, 16, 18, 22, 25, 29, 30, 45]",318.5231545743574,118,42
"[0, 1, 3, 16, 19, 21, 26, 28, 31, 45]",355.31676008879737,119,40
"[1, 3, 13, 20, 21, 26, 28, 43, 45, 48]",373.048254251377,118,39
"[0, 2, 3, 7, 10, 24, 28, 30, 32, 46]",295.1948509036023,150,107
"[2, 6, 7, 8, 20, 21, 24, 27, 31, 43]",458.8027898781785,109,21
"[0, 1, 3, 16, 18, 19, 22, 24, 33, 48]",365.0219171501898,115,43
"[8, 10, 18, 19, 25, 28, 31, 43, 45, 49]",412.49606058724976,110,27
"[0, 1, 3, 16, 18, 26, 28, 29, 40, 45]",339.94852551526094,120,41
"[1, 4, 12, 18, 19, 25, 28, 29, 30, 43]",389.8025141016923,111,23
"[1, 3, 13, 20, 22, 25, 29, 30, 43, 45]",373.048254251377,116,40
"[1, 4, 13, 18, 19, 22, 27, 29, 30, 43]",377.0053050024628,112,26
"[0, 1, 3, 16, 18, 19, 24, 28, 31, 45]",355.31676008879737,117,47
"[0, 1, 3, 6, 16, 21, 25, 28, 29, 35]",301.08636634693374,128,66
"[1, 13, 20, 22, 24, 29, 30, 43, 45, 49]",373.048254251377,113,41
"[0, 1, 3, 16, 24, 28, 29, 40, 41, 45]",298.41246622753545,125,70
"[2, 3, 10, 17, 24, 25, 28, 29, 36, 45]",285.112258592997,166,148
"[0, 2, 3, 5, 7, 10, 25, 28, 30, 32]",287.4717377412952,150,110
"[0, 1, 4, 8, 20, 26, 28, 30, 41, 49]",280.1660222082614,169,131
