solution,f1,f2,f3
"[5, 15, 28, 30, 47]",377.0053050024628,281,210
"[0, 6, 14, 24, 36]",457.1061145948498,218,40
"[3, 12, 13, 28, 41]",481.1330377348868,204,8
"[0, 3, 16, 24, 30]",424.721084948699,270,130
"[2, 5, 16, 28, 30]",422.4133047147071,249,150
"[4, 11, 17, 28, 30]",424.6092321181912,257,141
"[3, 11, 21, 23, 38]",585.6295757558697,204,7
"[4, 11, 13, 28, 31]",442.7640455140864,239,123
"[3, 18, 20, 24, 30]",458.8027898781785,209,22
"[2, 4, 16, 28, 30]",422.4133047147071,244,152
"[0, 3, 13, 24, 31]",442.7640455140864,254,116
"[4, 8, 14, 24, 30]",433.4166586553867,239,139
"[5, 15, 28, 30, 48]",377.0053050024628,284,202
"[2, 5, 15, 28, 30]",379.969735636932,259,160
"[4, 13, 16, 28, 31]",450.6994564008259,227,83
"[2, 4, 17, 24, 30]",415.1204644437564,248,174
