solution,f1,f2,f3
"[3, 7, 10, 23, 34]",585.6295757558697,247,121
"[0, 1, 22, 30, 42]",644.2895311892007,225,82
"[6, 13, 21, 23, 33]",560.1473020554504,257,126
"[16, 19, 23, 37, 47]",604.6329465055638,240,72
"[3, 9, 19, 26, 39]",502.6778292306117,275,124
"[0, 10, 25, 36, 47]",565.7428744579997,257,114
"[20, 24, 31, 33, 47]",604.7230771187751,230,81
"[0, 9, 22, 24, 42]",572.9650949228932,250,133
"[3, 13, 23, 24, 38]",458.8027898781785,278,135
"[0, 6, 16, 27, 37]",538.4394116332868,269,188
"[4, 14, 21, 27, 31]",458.21501503115326,322,212
