solution,f1,f2,f3
"[1, 5, 28, 39, 42]",489.0255617040892,344,280
"[1, 5, 28, 30, 42]",466.2038180881834,311,247
"[3, 6, 17, 24, 30]",458.8027898781785,280,136
"[3, 4, 17, 24, 30]",415.1204644437564,291,244
"[0, 5, 13, 23, 30]",501.8615346886031,246,142
"[0, 3, 8, 9, 24]",531.9191667913462,236,119
"[3, 8, 9, 24, 30]",463.9191739947812,224,37
"[3, 8, 9, 27, 30]",463.9191739947812,223,60
"[1, 3, 8, 27, 30]",460.3357470368774,248,85
"[3, 6, 16, 24, 30]",458.8027898781785,269,127
"[3, 4, 16, 24, 30]",422.4133047147071,274,227
"[1, 5, 7, 28, 30]",402.61271713645607,295,218
"[3, 8, 9, 25, 30]",463.9191739947812,211,22
"[1, 3, 6, 24, 31]",458.8027898781785,257,103
"[0, 1, 3, 24, 31]",452.4433666217243,257,99
"[1, 2, 4, 24, 30]",415.1204644437564,267,193
"[1, 2, 4, 28, 30]",413.35819817683546,265,173
